Borrower_ID,Client_Name,Age,Gender,Employment_Type,Monthly_Income,Num_Dependents,Loan_ID,Loan_Amount,Loan_Tenure,Interest_Rate,Loan_Type,Collateral_Value,Outstanding_Loan_Amount,Monthly_EMI,Payment_History,Num_Missed_Payments,Days_Past_Due,Recovery_Status,Collection_Attempts,Collection_Method,Legal_Action_Taken
BRW_1000,Rebecca Young,37,Female,Self-Employed,203244,0,LN_1000,504093,24,18.25,Home,664310.5868660659,181154.42735622654,25227.324129699216,Missed,3,103,Partially Recovered,3,Calls,No
BRW_1001,Michelle Martin,21,Male,Salaried,88896,0,LN_1001,1767488,24,9.67,Business,0.0,1359903.5210109744,81291.65804937083,On-Time,0,0,Partially Recovered,2,Emails,No
BRW_1002,Rebecca Taylor,58,Male,Salaried,111613,4,LN_1002,1099123,60,19.29,Personal,0.0,185122.59426698842,28687.5293288376,Delayed,1,45,Pending,4,None,No
BRW_1003,Melissa Jackson,58,Female,Business,168217,3,LN_1003,1809151,60,18.38,Business,0.0,1556971.1226141718,46315.34922195423,Missed,1,55,Fully Recovered,2,Settlement Offer,No
BRW_1004,Steven Moore,47,Male,Salaried,54286,2,LN_1004,1793351,36,13.84,Personal,0.0,361662.91361426096,61153.216591344666,On-Time,0,0,Pending,2,Settlement Offer,No
BRW_1005,Matthew Lee,27,Female,Salaried,133243,0,LN_1005,712542,12,11.96,Auto,1063987.0113343452,141423.4145614741,63295.1610155483,On-Time,0,0,Fully Recovered,0,Settlement Offer,No
BRW_1006,Charles Harris,49,Female,Salaried,109093,1,LN_1006,1713693,12,19.28,Home,2305879.9845938478,1123165.9753750197,158157.17725429632,On-Time,0,0,Pending,1,Settlement Offer,No
BRW_1007,Mark White,37,Male,Salaried,205297,4,LN_1007,1648919,12,5.47,Business,0.0,493503.93351248844,141515.20295427076,Missed,1,40,Fully Recovered,2,Calls,No
BRW_1008,William Smith,25,Male,Business,204821,0,LN_1008,1207019,12,11.78,Home,1547824.1930329015,723369.709116134,107117.99176198825,Missed,3,94,Pending,2,Emails,No
BRW_1009,Thomas Martinez,32,Female,Self-Employed,238784,2,LN_1009,1191090,60,5.67,Home,1479685.4480050576,547082.5943525608,22844.781948835964,On-Time,0,0,Pending,3,Settlement Offer,No
